grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
5.15,8,-8,-5.266563374,-3.582723164,-3.800083032,-4.735798767
5.16,8,-8,-5.259190693,-3.578214161,-3.793342508,-4.726989973
5.17,8,-8,-5.251846794,-3.573721331,-3.786628394,-4.718225292
5.18,8,-8,-5.244531486,-3.569244578,-3.77994055,-4.709499365
5.19,8,-8,-5.237244577,-3.564783804,-3.773278838,-4.700811953
5.2,8,-8,-5.229985881,-3.560338915,-3.766643119,-4.69216282
5.21,8,-8,-5.222755211,-3.555907676,-3.760033259,-4.683551731
5.22,8,-8,-5.215552384,-3.551494446,-3.753449121,-4.674978456
5.23,8,-8,-5.208377215,-3.547098958,-3.884316839,-4.666442288
5.24,8,-8,-5.201229526,-3.542714654,-3.877605001,-4.657943234
5.25,8,-8,-5.194109136,-3.538347915,-3.870918355,-4.649481242
5.26,8,-8,-5.187015869,-3.533996503,-3.864256774,-4.641056082
5.27,8,-8,-5.17994955,-3.529660317,-3.857620131,-4.632667528
5.28,8,-8,-5.172910005,-3.525339275,-3.851008303,-4.624315354
5.29,8,-8,-5.165897062,-3.521033288,-3.844421163,-4.615999336
5.3,8,-8,-5.158910551,-3.516742271,-3.83785859,-4.607719253
5.31,8,-8,-5.151950302,-3.512466137,-3.83132046,-4.599474886
5.32,8,-8,-5.145016152,-3.508204801,-3.824806651,-4.591266015
5.33,8,-8,-5.138107933,-3.50395818,-3.818317045,-4.583092424
5.34,8,-8,-5.131225482,-3.49972619,-3.811851519,-4.574953898
5.35,8,-8,-5.124368638,-3.495508749,-3.805409957,-4.566850225
5.36,8,-8,-5.117537239,-3.491305774,-3.798992238,-4.558781191
5.37,8,-8,-5.110731128,-3.487117184,-3.792598247,-4.550746587
5.38,8,-8,-5.103950147,-3.482942899,-3.786227867,-4.542746206
5.39,8,-8,-5.097194141,-3.478782838,-3.779880981,-4.534779839
5.4,8,-8,-5.090462955,-3.474636923,-3.773557476,-4.526847282
5.41,8,-8,-5.083756437,-3.470505076,-3.767257237,-4.518948331
5.42,8,-8,-5.077074434,-3.466387217,-3.760980151,-4.511082784
5.43,8,-8,-5.070416799,-3.462283271,-3.754727312,-4.50325044
5.44,8,-8,-5.06378338,-3.45819316,-3.748494989,-4.495451101
5.45,8,-8,-5.057174032,-3.45411681,-3.74228669,-4.487684569
5.46,8,-8,-5.050588609,-3.450054144,-3.736101099,-4.479950647
5.47,8,-8,-5.044026965,-3.446005088,-3.729938107,-4.472249142
5.48,8,-8,-5.037488958,-3.441969568,-3.723797603,-4.46457986
5.49,8,-8,-5.030974446,-3.437947511,-3.717679482,-4.456942609
5.5,8,-8,-5.024483287,-3.433938844,-3.711583635,-4.449320641
5.51,8,-8,-5.01801534,-3.429943496,-3.705509956,-4.441747586
5.52,8,-8,-5.01157047,-3.425961809,-3.699458339,-4.43420599
5.53,8,-8,-5.005148536,-3.42205542,-3.693428679,-4.426695667
5.54,8,-8,-4.998749404,-3.418036417,-3.687420872,-4.419216432
5.55,8,-8,-4.992372937,-3.414093863,-3.681434813,-4.411768101
5.56,8,-8,-4.986019001,-3.410164045,-3.6754704,-4.404350492
5.57,8,-8,-4.979687463,-3.406247125,-3.66952753,-4.396963424
5.58,8,-8,-4.97337819,-3.402343035,-3.663606102,-4.389606718
5.59,8,-8,-4.967091052,-3.398451709,-3.657706014,-4.382280194
5.6,8,-8,-4.960825916,-3.394573078,-3.790830757,-4.374983677
5.61,8,-8,-4.954582654,-3.390707076,-3.784794291,-4.36771699
5.62,8,-8,-4.948361137,-3.386853639,-3.778778798,-4.36047996
5.63,8,-8,-4.942161237,-3.3830127,-3.772784186,-4.353272413
5.64,8,-8,-4.935982828,-3.379184194,-3.76681036,-4.346094178
5.65,8,-8,-4.929825783,-3.375368059,-3.760857226,-4.338945085
5.66,8,-8,-4.923689975,-3.371564229,-3.754924692,-4.331824963
5.67,8,-8,-4.917575283,-3.367772642,-3.749012666,-4.324733646
5.68,8,-8,-4.911481581,-3.363993235,-3.743121055,-4.317670966
5.69,8,-8,-4.905408746,-3.360225946,-3.737249768,-4.310636758
5.7,8,-8,-4.899356657,-3.356470713,-3.731398715,-4.303630858
5.71,8,-8,-4.893325193,-3.504801816,-3.725567805,-4.296653103
5.72,8,-8,-4.887314234,-3.500725764,-3.719756949,-4.289703331
5.73,8,-8,-4.881323658,-3.496662101,-3.713966059,-4.282781382
5.74,8,-8,-4.875353348,-3.49261077,-3.708195044,-4.275886789
5.75,8,-8,-4.869403187,-3.488571712,-3.702443818,-4.269019644
5.76,8,-8,-4.863478481,-3.484544868,-3.696712293,-4.262179863
5.77,8,-8,-4.857566506,-3.48053018,-3.691000381,-4.255367289
5.78,8,-8,-4.851674219,-3.476527593,-3.685307997,-4.248581768
5.79,8,-8,-4.845802314,-3.472537048,-3.679635055,-4.241823147
5.8,8,-8,-4.839950645,-3.46855849,-3.673981468,-4.235091272
5.81,8,-8,-4.834119073,-3.464591861,-3.668347152,-4.228385994
5.82,8,-8,-4.828313823,-3.460637108,-3.662732023,-4.221707162
5.83,8,-8,-4.822551063,-3.456694175,-3.657135996,-4.215054626
5.84,8,-8,-4.816739514,-3.452763007,-3.651558988,-4.208428239
5.85,8,-8,-4.810984517,-3.44884355,-3.646000916,-4.201827854
5.86,8,-8,-4.805248405,-3.44493575,-3.640461698,-4.195253325
