L,grilla,alfa,MV,alfa.GA,alfa.LN,alfa.LC
3,4.9701,-5,-4.424164778,-3.381225068,-3.289810153,-4.626664079
3,4.9801,-5,-4.416827145,-3.377459684,-3.287388763,-4.617811472
3,4.9901,-5,-4.409526333,-3.373713338,-3.282097047,-4.608999565
3,5,-5,-4.402334613,-3.370023057,-3.279658627,-4.600228091
3,5.01,-5,-4.395260118,-3.366314136,-3.277209234,-4.59149679
3,5.02,-5,-4.388010863,-3.362623793,-3.27477347,-4.582805398
3,5.03,-5,-4.380815345,-3.358951875,-3.272351233,-4.574153659
3,5.04,-5,-4.373668732,-3.355298235,-3.269942425,-4.565541314
3,5.05,-5,-4.366567072,-3.351662723,-3.267546947,-4.556968111
3,5.06,-5,-4.359507198,-3.348045193,-3.265165359,-4.548433795
3,5.07,-5,-4.352487422,-3.344445499,-3.262796197,-4.539938119
3,5.08,-5,-4.345515384,-3.340863497,-3.260440093,-4.531480831
3,5.09,-5,-4.338564447,-3.337299044,-3.25809724,-4.523061688
3,5.1,-5,-4.331649521,-3.333752,-3.255765041,-4.514680444
3,5.11,-5,-4.324778277,-3.330220461,-3.253442382,-4.506336857
3,5.12,-5,-4.317930559,-3.326707706,-3.25112849,-4.498030687
3,5.13,-5,-4.311116266,-3.323211951,-3.248853803,-4.489761696
